title,logoPath,logoPathV3,jobId,currency,footerPlaceholderLabel,footerPlaceholderColor,companyName,isSaved,tagsAndSkills,companyId,jdURL,jobDescription,showMultipleApply,groupId,isTopGroup,createdDate,hiringFor,consultant,hideClientName,mode,clientLogo,board,salaryDetail,experienceText,minimumExperience,maximumExperience,saved,experience,salary,location,companyJobsUrl,ambitionBoxData,vacancy,clientHeadline,brandingTags,exclusive,diversityTagText,clientCareersUrl,clientGroupId,clientTitleString,diversityCountLabel,jobType,smbJobFields,internshipTags
Hiring For Senior Angular Developer For Trivandrum,https://img.naukimg.com/logo_images/groups/v1/5210230.gif,https://img.naukimg.com/logo_images/groups/v1/5210230.gif,50725017976,INR,1 Day Ago,green,Sperton,False,"Javascript,CSS,Typescript,Rxjs,HTML,Angular,Hiring,Cs",6357372,https://www.naukri.com/job-listings-hiring-for-senior-angular-developer-for-trivandrum-sperton-thiruvananthapuram-8-to-13-years-050725017976,"We are looking for a Senior Front-End Developer with 8+ years of experience in building modern . web applications using Angular<br><br>Required Skills:  . 8+ years of professional front-end development experience <br><br>4+ years of hands-on experience with Angular (v10+ preferred) <br><br>Proficient in responsive design,performance tuning,and UI optimization",False,5210230,0,2025-07-05 15:05:56,Sperton,1.0,0.0,jp,https://img.naukimg.com/logo_images/groups/v1/5210230.gif,1,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0}",8-13 Yrs,8.0,13.0,False,8-13 Yrs,Not disclosed,Thiruvananthapuram,https://www.naukri.com/sperton-jobs-careers-6121876,,10.0,,,,,,,,,,,
Sr. Java Backend Developer,https://img.naukimg.com/logo_images/groups/v1/1288.gif,https://img.naukimg.com/logo_images/groups/v1/1288.gif,10725915617,INR,5 Days Ago,grey,Capgemini,False,"hibernate,javascript,spring,java,java application development,rest,css,junit",7053,https://www.naukri.com/job-listings-sr-java-backend-developer-capgemini-technology-services-india-limited-bengaluru-4-to-6-years-010725915617,Completes own role independently or with minimum supervision,False,1288,0,2025-07-01 06:23:24,,,,jp,,1,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0}",4-6 Yrs,4.0,6.0,False,4-6 Yrs,Not disclosed,Bengaluru,https://www.naukri.com/capgemini-jobs-careers-649,"{'Url': 'https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 46351, 'AggregateRating': '3.7', 'Title': 'Capgemini Reviews by Employees'}",,,,,,,,,,,,
Quality Control Executive,https://img.naukimg.com/logo_images/groups/v1/4657153.gif,https://img.naukimg.com/logo_images/groups/v1/4657153.gif,10625004351,INR,1 Day Ago,green,JAIN HOUSING & CONSTRUCTION,False,"Quality Analysis,Quality Check,Quality Control,Check,Control,Analysis,Quality",73413,https://www.naukri.com/job-listings-quality-control-executive-jain-housing-construction-coimbatore-4-to-9-years-010625004351,<p>Responsibilities:</p><ul><li>Collaborate with production team on quality improvements</li><li>Conduct regular QC checks & analyses</li><li>Ensure product compliance with standards</li><li>Report findings & recommendations to management</li></ul>,False,4657153,0,2025-07-06 09:29:19,,,,jp,,1,"{'minimumSalary': 450000, 'maximumSalary': 650000, 'currency': 'INR', 'hideSalary': False, 'variablePercentage': 0}",4-9 Yrs,4.0,9.0,False,,4.5-6.5 Lacs PA,Coimbatore,https://www.naukri.com/jain-housing-construction-jobs-careers-73413,"{'Url': 'https://www.ambitionbox.com/reviews/jain-housing-and-constructions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 79, 'AggregateRating': '3.8', 'Title': 'Jain Housing & Constructions Reviews by Employees'}",2.0,,,,,,,,,WALK IN,,
.Net Developer - Blazor,https://img.naukimg.com/logo_images/groups/v1/10663242.gif,https://img.naukimg.com/logo_images/groups/v1/10663242.gif,40725911943,INR,2 Days Ago,grey,Ekloud Inc,False,".Net,C#,Azure,.Net Core,NoSQL,Blazor,API,SQL",124703740,https://www.naukri.com/job-listings-net-developer-blazor-ekloud-inc-delhi-8-to-10-years-040725911943,"<div>About the Role : </div><div><br /></div><div>We are seeking a highly skilled Senior .NET Developer with deep expertise in Azure API Management, T-SQL, and .NET technologies. The ideal candidate will have a strong foundation in enterprise-grade application development, with hands-on experience in cloud-native solutions and API architecture, particularly within Microsoft Azure. A background in Blazor and understanding of commercial insurance systems will be highly beneficial. </div><div><br /></div><div>Key Responsibilities : </div><div><br /></div><div>- Design, develop, and deploy secure and scalable APIs using the .NET stack (.NET 6+, C#). </div><div><br /></div><div>- Implement and manage APIs in Azure API Management Gateway. </div><div><br /></div><div>- Integrate Azure services such as Logic Apps, Azure Functions, Service Bus, and Event Grid into application workflows. </div><div><br /></div><div>- Write complex queries and stored procedures using T-SQL. </div><div><br /></div><div>- Design and build CI/CD pipelines for efficient code integration and deployment using Azure DevOps or equivalent tools. </div><div><br /></div><div>- Collaborate with product managers, architects, and QA teams to ensure high-quality deliverables. </div><div><br /></div><div>- Optimize performance and reliability of APIs and backend services. </div><div><br /></div><div>- Follow secure coding practices and conduct regular code reviews. </div><div><br /></div><div>- Document technical architecture and processes effectively for team-wide knowledge sharing. </div><div><br /></div><div>Mandatory Skills : </div><div><br /></div><div>- Strong expertise in C#, .NET Core / .NET 6+, SQL, and T-SQL </div><div><br /></div><div>- Proven experience with Azure Integration Services (AIS) Logic Apps, Azure Functions, Service Bus, Event Grid </div><div><br /></div><div>- Deep understanding of Azure API Management (APIM) designing, securing, publishing APIs </div><div><br /></div><div>- Hands-on experience in setting up and maintaining CI/CD pipelines </div><div><br /></div><div>- Proficiency with Blazor is a plus </div><div><br /></div><div>- Familiarity with microservices and event-driven architecture </div>",False,10663242,0,2025-07-04 04:15:40,,,,jp,,1,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0}",8-10 Yrs,8.0,10.0,False,8-10 Yrs,Not disclosed,Delhi,https://www.naukri.com/ekloud-jobs-careers-124703740,,,,,,,,,,,,,
Guidewire Developer -  Insurance Systems,https://img.naukimg.com/logo_images/groups/v1/10663242.gif,https://img.naukimg.com/logo_images/groups/v1/10663242.gif,30725913848,INR,3 Days Ago,grey,Ekloud Inc,False,"Guidewire,Design Patterns,Guidewire Integration,Guidewire Configuration,Insurance Apps,Rest Webservices,Application,Rest",124703740,https://www.naukri.com/job-listings-guidewire-developer-insurance-systems-ekloud-inc-delhi-ncr-5-to-8-years-030725913848,"Shift Timing : 2:30 PM to 9:30 PM IST<br><br> Work from Home option<br><br> Good to have :  . - Certified in Guidewire Cloud<br><br>  :  . - Total development experience of 5+ yrs hands-on experience in the GW Insurance systems of PC<br><br> - Good understanding of Design Patterns,OOPs,UML,Object Oriented analysis and design",False,10663242,0,2025-07-03 05:14:05,,,,jp,,1,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0}",5-8 Yrs,5.0,8.0,False,5-8 Yrs,Not disclosed,Delhi / NCR,https://www.naukri.com/ekloud-jobs-careers-124703740,,,,,,,,,,,,,
Associate Consultant,https://img.naukimg.com/logo_images/groups/v1/614294.gif,https://img.naukimg.com/logo_images/groups/v1/614294.gif,20725030898,INR,4 Days Ago,grey,Careernet,False,"Coordination,Travel Management,Campus Hiring,Campus Placement,Placement Coordination,Campus Recruitment,University Relations,Relationship",4124,https://www.naukri.com/job-listings-associate-consultant-careernet-mumbai-all-areas-0-to-1-years-020725030898,"<p><strong>Role & responDesignation: Associate Coordinator</strong></p><br /><p><strong>Job Description:</strong></p><ul><li><strong> Understanding client requirements & Client selection process</strong></li><li><strong> Campus Coordination</strong></li><li><strong> Conducting written test & Evaluation</strong></li><li><strong> Interview Coordination for activities</strong></li><li><strong> Maintaining the tracker for all appeared candidates along with the status.</strong></li><li><strong> Decision Making and problem-solving skills Resolving issues(If any) on the campus.</strong></li><li><strong> Publishing report on the activity and reporting back to manager.</strong></li><li><strong> Adherence to the processes followed and SLAs.</strong></li><li><strong> Assisting the manager in executing assessments for other CareerNet/HirePro programs in  the other region</strong></li><li><strong> Open to travel across India for campus hiring.</strong></li></ul><br /><br /><br /><p><strong>Preferred candidate profile</strong> </p><br /><ul><li><strong> Should have good presentation, communication & interpersonal skills.</strong></li><li><strong> Should be an extrovert with high energy and a positive approach, who enjoys being with   people.</strong></li><li><strong> Should be a quick learner and target oriented.</strong></li><li><strong> Should be a self-starter and good team player.</strong></li><li><strong> Should have knowledge in MS Office (Excel, Word & Power Point)</strong></li></ul><br /><ul><li><strong> Should be an graduate or of any equivalent qualifications.</strong></li><li><strong> Preferred to be a male. </strong></li></ul><br /><p><strong>Please apply for this job if you are interested and wanted to meet us In-person to explore the opportunity.</strong></p><br /><br /><br />",False,614294,0,2025-07-02 12:34:17,HirePro,1.0,0.0,jp,https://img.naukimg.com/logo_images/groups/v1/4657533.gif,1,"{'minimumSalary': 275000, 'maximumSalary': 300000, 'currency': 'INR', 'hideSalary': False, 'variablePercentage': 0}",0-1 Yrs,0.0,1.0,False,0-1 Yrs,2.75-3 Lacs PA,Mumbai (All Areas),https://www.naukri.com/careernet-jobs-careers-4124,,2.0,,,,,hirepro-jobs-careers-4224708,4657533.0,HirePro,,,,
Data Engineer-Dataiku,https://img.naukimg.com/logo_images/groups/v1/11544068.gif,https://img.naukimg.com/logo_images/groups/v1/11544068.gif,40725500349,INR,2 Days Ago,grey,Swits Digital,False,"Computer science,Automation,Data analysis,Version control,GIT,GCP,Machine learning,Business intelligence",124689026,https://www.naukri.com/job-listings-data-engineer-dataiku-swits-digital-private-limited-bengaluru-3-to-5-years-040725500349,"Bachelor s degree in Computer Science,Data Science,Information Systems,or a related field<br><br>Experience: 3-5 Years<br><br>We are looking for a highly skilled Data Engineer & Analytics Specialist with 3 5 years of experience to join our growing data team<br><br> . 3 5 years of hands-on experience in data analysis,data engineering,or related roles",False,11544068,0,2025-07-04 06:59:53,,,,crawled,,1,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0}",3-5 Yrs,3.0,5.0,False,3-5 Yrs,Not disclosed,Bengaluru,https://www.naukri.com/swits-digital-jobs-careers-124689026,"{'Url': 'https://www.ambitionbox.com/reviews/swits-digital-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 6, 'AggregateRating': '5.0', 'Title': 'SWITS DIGITAL Reviews by Employees'}",,,,,,,,,,,,
Urgent Sr QA Engineer - Noida,https://img.naukimg.com/logo_images/groups/v1/376016.gif,https://img.naukimg.com/logo_images/groups/v1/376016.gif,20725033561,INR,4 Days Ago,grey,Vensure,False,"Cypress,Selenium,QA,TestNg,Postman,SR,Quality assurance",1535296,https://www.naukri.com/job-listings-urgent-sr-qa-engineer-noida-vensure-noida-8-to-13-years-020725033561,"Shift: 1pm to 10pm . Notice: Immediate to max 1month . Job description . We are seeking a highly skilled and detail-oriented Senior QA Engineer to join our growing team<br><br> Bachelors degree in Computer Science,Engineering,or a related field<br><br>Required Skills <br><br>10 years of experience in software quality assurance,including test automation",False,376016,0,2025-07-02 14:31:50,,,,jp,,1,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0}",8-13 Yrs,8.0,13.0,False,8-13 Yrs,Not disclosed,Noida,https://www.naukri.com/vensure-jobs-careers-626681,"{'Url': 'https://www.ambitionbox.com/reviews/vensure-employer-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 158, 'AggregateRating': '3.9', 'Title': 'Vensure Employer Services Reviews by Employees'}",2.0,,,,,,,,,,,
Implementation and Support Engineer,https://img.naukimg.com/logo_images/groups/v1/986296.gif,https://img.naukimg.com/logo_images/groups/v1/986296.gif,130124003282,INR,4 Days Ago,grey,Intuit Micro Technology Llc,False,"HIS,Hospital Information System,implementation,support,health care,EMR,clinic workflow,Engineering Support",2660694,https://www.naukri.com/job-listings-implementation-and-support-engineer-intuit-micro-technology-llc-chennai-2-to-5-years-130124003282,"Minimum 25 years of experience in HIS / EMR implementation or support. Bachelors degree in Computer Science,Health Informatics,or related field.  . Strong understanding of healthcare operations,clinical workflows,and medical terminology. <br><br> 3+ years of experience in healthcare IT implementation and support . .",False,986296,0,2025-07-02 06:14:40,,,,jp,,1,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0}",2-5 Yrs,2.0,5.0,False,2-5 Yrs,Not disclosed,Chennai,https://www.naukri.com/intuit-micro-technology-jobs-careers-2660694,"{'Url': 'https://www.ambitionbox.com/reviews/intuit-micro-technology-llc-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 2, 'AggregateRating': '4.0', 'Title': 'INTUIT Micro Technology LLC Reviews by Employees'}",,,,,,,,,,,,
Automation Test Engineer @ Pune (Selenium with C# is must),https://img.naukimg.com/logo_images/groups/v1/4728881.gif,https://img.naukimg.com/logo_images/groups/v1/4728881.gif,10725925944,INR,5 Days Ago,grey,Athalye Management Consultants,False,"C#,Selenium Automation,automation tester,Automation testing,Software testing,Automation,Selenium",75343,https://www.naukri.com/job-listings-automation-test-engineer-pune-selenium-with-c-is-must-athalye-management-consultants-sindhudurg-4-to-9-years-010725925944,"automated testing exp with one or more of the following test automation tools: Appium, Selenium with C#, TestStack. White, Coded UI. Exp with Agile software development. Working with the test automation team for developing testing strategy",False,4728881,0,2025-07-01 11:46:16,,1.0,0.0,jp,https://img.naukimg.com/logo_images/groups/v1/4728881.gif,1,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0}",4-9 Yrs,4.0,9.0,False,4-9 Yrs,Not disclosed,Sindhudurg,https://www.naukri.com/sap-brothers-jobs-careers-75343,,,,,,,,,,,,,
